date,equity,cash,positions
2022-08-16,104483.54,104483.54,0
2022-08-17,104483.54,104483.54,0
2022-08-18,104483.54,104483.54,0
2022-08-19,104483.54,104483.54,0
2022-08-22,104483.54,104483.54,0
2022-08-23,104483.54,104483.54,0
2022-08-24,104483.54,104483.54,0
2022-08-25,104483.54,104483.54,0
2022-08-26,104483.54,104483.54,0
2022-08-29,104483.54,104483.54,0
2022-08-30,104483.54,104483.54,0
2022-08-31,104483.54,104483.54,0
2022-09-01,104483.54,104483.54,0
2022-09-02,104483.54,104483.54,0
2022-09-05,104483.54,104483.54,0
2022-09-06,104483.54,104483.54,0
2022-09-07,104483.54,104483.54,0
2022-09-08,104483.54,104483.54,0
2022-09-09,104483.54,104483.54,0
2022-09-13,104483.54,104483.54,0
2022-09-14,104483.54,104483.54,0
2022-09-15,104483.54,104483.54,0
2022-09-16,104483.54,104483.54,0
2022-09-19,104483.54,104483.54,0
2022-09-20,104483.54,104483.54,0
2022-09-21,104483.54,104483.54,0
2022-09-22,104483.54,104483.54,0
2022-09-23,104483.54,104483.54,0
2022-09-26,104483.54,104483.54,0
2022-09-27,104483.54,104483.54,0
2022-09-28,104483.54,104483.54,0
2022-09-29,104483.54,104483.54,0
2022-09-30,104483.54,104483.54,0
2022-10-10,104483.54,104483.54,0
2022-10-11,104483.54,104483.54,0
2022-10-12,104483.54,104483.54,0
2022-10-13,104483.54,104483.54,0
2022-10-14,104483.54,104483.54,0
2022-10-17,104483.54,104483.54,0
2022-10-18,104483.54,104483.54,0
2022-10-19,104483.54,104483.54,0
2022-10-20,104483.54,104483.54,0
2022-10-21,104483.54,104483.54,0
2022-10-24,104483.54,104483.54,0
2022-10-25,104483.54,104483.54,0
2022-10-26,104483.54,104483.54,0
2022-10-27,104483.54,104483.54,0
2022-10-28,104483.54,104483.54,0
2022-10-31,104483.54,104483.54,0
2022-11-01,104483.54,104483.54,0
2022-11-02,104483.54,104483.54,0
2022-11-03,104483.54,104483.54,0
2022-11-04,104483.54,104483.54,0
2022-11-07,104483.54,104483.54,0
2022-11-08,104483.54,104483.54,0
2022-11-09,104483.54,104483.54,0
2022-11-10,104483.54,104483.54,0
2022-11-11,104483.54,104483.54,0
2022-11-14,104483.54,104483.54,0
2022-11-15,104483.54,104483.54,0
2022-11-16,104483.54,104483.54,0
2022-11-17,104483.54,104483.54,0
2022-11-18,104483.54,104483.54,0
2022-11-21,104483.54,104483.54,0
2022-11-22,104483.54,104483.54,0
2022-11-23,104483.54,104483.54,0
2022-11-24,104483.54,104483.54,0
2022-11-25,104483.54,104483.54,0
2022-11-28,104483.54,104483.54,0
2022-11-29,104483.54,104483.54,0
2022-11-30,104483.54,104483.54,0
2022-12-01,104483.54,104483.54,0
2022-12-02,104176.81,62690.12,2
2022-12-05,104790.95,41854.76,3
2022-12-06,105506.81,0.0,5
2022-12-07,105885.11,1151.67,5
2022-12-08,104667.58,0.0,5
2022-12-09,106616.48,-0.0,5
2022-12-12,103882.44,121.49,5
2022-12-13,104652.02,22538.35,4
2022-12-14,105312.17,20953.94,4
2022-12-15,103484.87,0.0,5
2022-12-16,105961.47,0.0,5
2022-12-19,103697.4,0.0,5
2022-12-20,100735.9,40121.95,3
2022-12-21,100886.13,60748.91,2
2022-12-22,101582.73,60748.91,2
2022-12-23,100961.36,60748.91,2
2022-12-26,101635.53,101635.53,0
2022-12-27,101635.53,101635.53,0
2022-12-28,101635.53,101635.53,0
2022-12-29,101635.53,101635.53,0
2022-12-30,101635.53,101635.53,0
2023-01-03,101635.53,101635.53,0
2023-01-04,101635.53,101635.53,0
2023-01-05,101635.53,101635.53,0
2023-01-06,101409.1,60981.32,2
