date,equity,cash,positions
2023-07-18,94671.5,37521.73,3
2023-07-19,94763.65,37521.73,3
2023-07-20,93672.48,56277.75,2
2023-07-21,93140.67,93140.67,0
2023-07-24,93140.67,93140.67,0
2023-07-25,93140.67,93140.67,0
2023-07-26,91818.59,55884.4,2
2023-07-27,91789.09,73382.75,1
2023-07-28,92493.4,36667.12,3
2023-07-31,92936.87,0.0,5
2023-08-01,94212.43,0.0,5
2023-08-02,94239.96,0.0,5
2023-08-03,93784.78,19076.65,4
2023-08-04,93651.17,56527.12,2
2023-08-07,92792.67,37273.22,3
2023-08-08,92298.34,18266.13,4
2023-08-09,89864.37,35576.14,3
2023-08-10,90231.89,0.0,5
2023-08-11,88278.94,0.0,5
2023-08-14,87473.38,35342.54,3
2023-08-15,87184.46,52751.56,2
2023-08-16,86884.69,69574.33,1
2023-08-17,86972.11,86972.11,0
2023-08-18,86972.11,86972.11,0
2023-08-21,86972.11,86972.11,0
2023-08-22,86972.11,86972.11,0
2023-08-23,86972.11,86972.11,0
2023-08-24,86972.11,86972.11,0
2023-08-25,86972.11,86972.11,0
2023-08-28,86972.11,86972.11,0
2023-08-29,86972.11,86972.11,0
2023-08-30,86972.11,86972.11,0
2023-08-31,86972.11,86972.11,0
2023-09-01,86972.11,86972.11,0
2023-09-04,86972.11,86972.11,0
2023-09-05,86972.11,86972.11,0
2023-09-06,86972.11,86972.11,0
2023-09-07,86972.11,86972.11,0
2023-09-08,86972.11,86972.11,0
2023-09-11,86972.11,86972.11,0
2023-09-12,86972.11,86972.11,0
2023-09-13,86972.11,86972.11,0
2023-09-14,86972.11,86972.11,0
2023-09-15,86972.11,86972.11,0
2023-09-18,86972.11,86972.11,0
2023-09-19,86972.11,86972.11,0
2023-09-20,86972.11,86972.11,0
2023-09-21,86972.11,86972.11,0
2023-09-22,86972.11,86972.11,0
2023-09-25,86972.11,86972.11,0
2023-09-26,86972.11,86972.11,0
2023-09-27,86972.11,86972.11,0
2023-09-28,86972.11,86972.11,0
2023-10-09,86972.11,86972.11,0
2023-10-10,86972.11,86972.11,0
2023-10-11,86972.11,86972.11,0
2023-10-12,86972.11,86972.11,0
2023-10-13,86972.11,86972.11,0
2023-10-16,86972.11,86972.11,0
2023-10-17,86972.11,86972.11,0
2023-10-18,86972.11,86972.11,0
2023-10-19,86972.11,86972.11,0
2023-10-20,86972.11,86972.11,0
2023-10-23,86972.11,86972.11,0
2023-10-24,86972.11,86972.11,0
2023-10-25,86972.11,86972.11,0
2023-10-26,86972.11,86972.11,0
2023-10-27,86972.11,86972.11,0
2023-10-30,86972.11,86972.11,0
2023-10-31,86972.11,86972.11,0
2023-11-01,86972.11,86972.11,0
2023-11-02,86972.11,86972.11,0
2023-11-03,86972.11,86972.11,0
2023-11-06,86972.11,86972.11,0
2023-11-07,86972.11,86972.11,0
2023-11-08,86972.11,86972.11,0
2023-11-09,86972.11,86972.11,0
2023-11-10,86972.11,86972.11,0
2023-11-13,86972.11,86972.11,0
2023-11-14,86972.11,86972.11,0
2023-11-15,86972.11,86972.11,0
2023-11-16,86972.11,86972.11,0
2023-11-17,86972.11,86972.11,0
2023-11-20,86972.11,86972.11,0
2023-11-21,86972.11,86972.11,0
2023-11-22,86972.11,86972.11,0
2023-11-23,86972.11,86972.11,0
2023-11-24,86972.11,86972.11,0
2023-11-27,86972.11,86972.11,0
2023-11-28,86972.11,86972.11,0
2023-11-29,86972.11,86972.11,0
2023-11-30,86972.11,86972.11,0
2023-12-01,86972.11,86972.11,0
2023-12-04,86972.11,86972.11,0
2023-12-05,86972.11,86972.11,0
2023-12-06,86972.11,86972.11,0
2023-12-07,86972.11,86972.11,0
2023-12-08,86972.11,86972.11,0
2023-12-11,86972.11,86972.11,0
2023-12-12,86972.11,86972.11,0
2023-12-13,86972.11,86972.11,0
2023-12-14,86972.11,86972.11,0
2023-12-15,86972.11,86972.11,0
2023-12-18,86972.11,86972.11,0
2023-12-19,86972.11,86972.11,0
2023-12-20,86972.11,86972.11,0
2023-12-21,86972.11,86972.11,0
2023-12-22,86972.11,86972.11,0
2023-12-25,86972.11,86972.11,0
2023-12-26,86972.11,86972.11,0
2023-12-27,86972.11,86972.11,0
2023-12-28,86972.11,86972.11,0
2023-12-29,86972.11,86972.11,0
2024-01-02,86972.11,86972.11,0
2024-01-03,86972.11,86972.11,0
2024-01-04,86972.11,86972.11,0
2024-01-05,86972.11,86972.11,0
2024-01-08,86972.11,86972.11,0
2024-01-09,86972.11,86972.11,0
2024-01-10,86972.11,86972.11,0
2024-01-11,86972.11,86972.11,0
2024-01-12,86972.11,86972.11,0
2024-01-15,86972.11,86972.11,0
2024-01-16,86972.11,86972.11,0
2024-01-17,86972.11,86972.11,0
