date,regime,picks,wins,losses,holds,no_data,acceptance_mode,eligible_count,breadth_above_sma20,input_mode,bundle_id,bundle_composite_sha256,pit_grade
2023-07-05,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-07-06,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-07-07,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-07-10,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-07-11,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-07-12,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-07-13,choppy,2,0,1,1,0,full,11,0.6341,live,,,
2023-07-14,choppy,2,0,1,1,0,full,17,0.599,live,,,
2023-07-17,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-07-18,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-07-19,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-07-20,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-07-21,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-07-24,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-07-25,choppy,2,0,2,0,0,full,11,0.5894,live,,,
2023-07-26,choppy,2,0,0,1,1,full,13,0.5453,live,,,
2023-07-27,choppy,2,0,0,2,0,full,12,0.477,live,,,
2023-07-28,bull,2,0,1,1,0,full,6,0.5639,live,,,
2023-07-31,bull,2,2,0,0,0,full,9,0.6194,live,,,
2023-08-01,bull,2,1,1,0,0,full,11,0.6193,live,,,
2023-08-02,bull,2,0,1,0,1,full,14,0.5918,live,,,
2023-08-03,bull,2,0,2,0,0,full,14,0.5912,live,,,
2023-08-04,bull,2,0,2,0,0,full,18,0.6119,live,,,
2023-08-07,bull,2,0,2,0,0,full,15,0.5609,live,,,
2023-08-08,bull,2,0,2,0,0,full,19,0.5312,live,,,
2023-08-09,bull,2,0,2,0,0,full,17,0.4411,live,,,
2023-08-10,bull,2,0,1,1,0,full,14,0.4742,live,,,
2023-08-11,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-08-14,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-08-15,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-08-16,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-08-17,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-08-18,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-08-21,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-08-22,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-08-23,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-08-24,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-08-25,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-08-28,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-08-29,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-08-30,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-08-31,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-01,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-04,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-05,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-06,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-07,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-08,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-11,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-12,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-13,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-14,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-15,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-18,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-19,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-20,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-21,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-22,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-25,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-26,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-27,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-09-28,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-09,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-10,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-11,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-12,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-13,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-16,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-17,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-18,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-19,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-20,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-23,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-24,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-25,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-26,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-27,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-30,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-10-31,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-01,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-02,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-03,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-06,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-07,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-08,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-09,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-10,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-13,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-14,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-15,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-16,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-17,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-20,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-21,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-11-22,bear,0,0,0,0,0,regime_filtered,0,,live,,,
