baseline_date,regime,engine,ticker,name_cn,score,planned_entry_price,max_entry_price,stop_loss,target_1,holding_period,input_mode,bundle_id,bundle_composite_sha256,pit_grade
2021-12-08,choppy,alpha_rs_pullback,002505.SZ,,98.02,4.17,4.25,3.91,4.59,5,live,,,
2021-12-09,bull,alpha_rs_pullback,600732.SH,,98.68,17.56,17.91,16.4,19.32,5,live,,,
2021-12-09,bull,alpha_rs_pullback,600764.SH,,98.05,38.82,39.6,36.75,42.7,5,live,,,
2021-12-10,bull,alpha_rs_pullback,002180.SZ,,98.52,46.49,47.42,44.31,50.66,5,live,,,
2021-12-10,bull,alpha_rs_pullback,002032.SZ,,98.34,50.19,51.19,47.7,54.95,5,live,,,
2021-12-13,bull,alpha_rs_pullback,300151.SZ,,98.23,40.69,41.5,38.63,44.62,5,live,,,
2021-12-13,bull,alpha_rs_pullback,300476.SZ,,98.21,30.28,30.89,28.68,33.34,5,live,,,
2021-12-14,bull,alpha_rs_pullback,002463.SZ,,98.12,14.59,14.88,13.89,15.93,5,live,,,
2021-12-14,bull,alpha_rs_pullback,688339.SH,,97.72,112.98,115.24,107.52,123.41,5,live,,,
2021-12-15,bull,alpha_rs_pullback,603198.SH,,98.34,64.77,66.07,61.39,71.23,5,live,,,
2021-12-15,bull,alpha_rs_pullback,600732.SH,,98.15,17.86,18.22,16.72,19.65,5,live,,,
2021-12-16,bull,alpha_rs_pullback,688599.SH,,98.65,79.64,81.23,74.51,89.43,5,live,,,
2021-12-16,bull,alpha_rs_pullback,002534.SZ,,98.04,27.76,28.32,25.98,30.54,5,live,,,
2021-12-17,bull,alpha_rs_pullback,603589.SH,,98.07,70.31,71.72,67.04,76.56,5,live,,,
2021-12-17,bull,alpha_rs_pullback,300308.SZ,,97.94,28.49,29.06,27.3,30.76,5,live,,,
2021-12-21,choppy,alpha_rs_pullback,000723.SZ,,98.16,16.62,16.95,15.58,18.28,5,live,,,
2021-12-21,choppy,alpha_rs_pullback,000408.SZ,,98.05,27.96,28.52,26.2,30.76,5,live,,,
2021-12-22,choppy,alpha_rs_pullback,000935.SZ,,98.96,23.63,24.1,22.44,25.9,5,live,,,
2021-12-22,choppy,alpha_rs_pullback,002810.SZ,,98.31,55.94,57.06,53.47,60.66,5,live,,,
2021-12-23,bull,alpha_rs_pullback,600416.SH,,97.62,19.49,19.88,18.34,21.44,5,live,,,
2021-12-23,bull,alpha_rs_pullback,002507.SZ,,97.54,24.94,25.44,23.89,26.95,5,live,,,
2021-12-24,choppy,alpha_rs_pullback,002920.SZ,,98.92,151.73,154.76,142.9,166.9,5,live,,,
2021-12-24,choppy,alpha_rs_pullback,600233.SH,,98.51,15.95,16.27,15.25,17.28,5,live,,,
2021-12-27,choppy,alpha_rs_pullback,603713.SH,,98.68,130.76,133.38,124.85,142.04,5,live,,,
2021-12-27,choppy,alpha_rs_pullback,600027.SH,,98.55,4.29,4.38,3.99,4.72,5,live,,,
2021-12-28,choppy,alpha_rs_pullback,002938.SZ,,98.89,38.9,39.68,36.94,42.64,5,live,,,
2021-12-28,choppy,alpha_rs_pullback,603198.SH,,98.88,64.93,66.23,61.93,70.66,5,live,,,
2021-12-30,choppy,alpha_rs_pullback,002384.SZ,,98.59,26.23,26.75,24.97,28.63,5,live,,,
2021-12-30,choppy,alpha_rs_pullback,000729.SZ,,98.23,7.96,8.12,7.62,8.62,5,live,,,
2021-12-31,choppy,alpha_rs_pullback,002384.SZ,,98.88,26.26,26.79,25.01,28.65,5,live,,,
2021-12-31,choppy,alpha_rs_pullback,300033.SZ,,98.55,95.58,97.49,91.4,103.57,5,live,,,
2022-01-04,choppy,alpha_rs_pullback,603228.SH,,98.95,31.12,31.74,29.61,34.01,5,live,,,
2022-01-04,choppy,alpha_rs_pullback,000729.SZ,,98.88,7.98,8.14,7.62,8.66,5,live,,,
2022-05-31,choppy,alpha_rs_pullback,000733.SZ,,98.84,113.05,115.31,108.49,121.75,5,live,,,
2022-05-31,choppy,alpha_rs_pullback,002459.SZ,,98.41,45.82,46.74,43.79,49.7,5,live,,,
2022-06-01,choppy,alpha_rs_pullback,600123.SH,,98.93,9.7,9.89,9.2,10.65,5,live,,,
2022-06-01,choppy,alpha_rs_pullback,000830.SZ,,95.85,15.0,15.3,14.49,15.98,5,live,,,
2022-06-02,choppy,alpha_rs_pullback,603688.SH,,98.97,49.96,50.96,47.04,54.96,5,live,,,
2022-06-02,choppy,alpha_rs_pullback,000519.SZ,,97.49,24.61,25.1,23.33,27.05,5,live,,,
2022-06-06,choppy,alpha_rs_pullback,000519.SZ,,94.2,24.78,25.28,23.53,27.17,5,live,,,
2022-06-06,choppy,alpha_rs_pullback,603529.SH,,94.05,25.52,26.03,23.96,28.07,5,live,,,
2022-06-07,choppy,alpha_rs_pullback,601898.SH,,97.91,8.53,8.7,8.14,9.27,5,live,,,
2022-06-07,choppy,alpha_rs_pullback,603529.SH,,97.6,25.32,25.83,23.83,27.85,5,live,,,
2022-06-08,choppy,alpha_rs_pullback,600328.SH,,96.78,15.3,15.61,14.39,16.83,5,live,,,
2022-06-08,choppy,alpha_rs_pullback,002192.SZ,,95.59,145.24,148.14,135.11,159.76,5,live,,,
2022-06-09,choppy,alpha_rs_pullback,002738.SZ,,96.85,55.99,57.11,52.51,61.59,5,live,,,
2022-06-09,choppy,alpha_rs_pullback,000519.SZ,,96.66,25.47,25.98,24.06,28.02,5,live,,,
2022-06-10,choppy,alpha_rs_pullback,000983.SZ,,97.25,11.79,12.03,11.11,12.97,5,live,,,
2022-06-10,choppy,alpha_rs_pullback,603529.SH,,96.82,24.97,25.47,23.62,27.47,5,live,,,
2022-06-13,bull,alpha_rs_pullback,601001.SH,,98.28,13.35,13.62,12.54,14.69,5,live,,,
2022-06-13,bull,alpha_rs_pullback,002430.SZ,,97.22,29.8,30.4,28.57,32.14,5,live,,,
2022-06-14,bull,alpha_rs_pullback,300568.SZ,,98.36,26.49,27.02,25.11,29.13,5,live,,,
2022-06-14,bull,alpha_rs_pullback,600389.SH,,97.3,42.57,43.42,40.4,46.71,5,live,,,
2022-06-15,bull,alpha_rs_pullback,600123.SH,,98.97,11.43,11.66,10.78,12.57,5,live,,,
2022-06-15,bull,alpha_rs_pullback,000519.SZ,,98.69,27.7,28.25,26.12,30.47,5,live,,,
2022-06-16,bull,alpha_rs_pullback,688063.SH,,98.9,157.38,160.53,148.08,175.14,5,live,,,
2022-06-16,bull,alpha_rs_pullback,000810.SZ,,98.7,16.55,16.88,15.35,18.21,5,live,,,
2022-06-17,bull,alpha_rs_pullback,000553.SZ,,98.14,12.44,12.69,11.74,13.68,5,live,,,
2022-06-17,bull,alpha_rs_pullback,601238.SH,,97.76,16.29,16.62,15.44,17.92,5,live,,,
2022-06-20,bull,alpha_rs_pullback,002056.SZ,,98.27,22.76,23.22,20.85,25.04,5,live,,,
2022-06-20,bull,alpha_rs_pullback,002738.SZ,,98.04,56.2,57.32,53.17,61.82,5,live,,,
2022-06-21,bull,alpha_rs_pullback,002594.SZ,,97.72,110.01,112.21,104.89,119.79,5,live,,,
2022-06-21,bull,alpha_rs_pullback,300861.SZ,,97.23,52.26,53.31,49.56,57.41,5,live,,,
2022-06-22,bull,alpha_rs_pullback,000963.SZ,,98.96,39.13,39.91,37.56,42.13,5,live,,,
