ticker,stage,reason
SCHL,filters,"Price $3.27 < $5.00; $ADV20 $10,799,746 < $30,000,000"
MCB,filters,"$ADV20 $3,994,555 < $30,000,000"
VTS,scoring,score_below_min
ICHR,filters,"$ADV20 $9,132,274 < $30,000,000"
OMI,filters,"$ADV20 $9,132,274 < $30,000,000"
PCAR,scoring,score_below_min
AROW,scoring,score_below_min
CYH,filters,"Price $3.39 < $5.00; $ADV20 $6,445,462 < $30,000,000"
BRCB,filters,"$ADV20 $2,959,084 < $30,000,000"
OEC,filters,"$ADV20 $2,959,084 < $30,000,000"
ADEA,filters,"$ADV20 $8,332,208 < $30,000,000"
SUNS,filters,"$ADV20 $12,318,884 < $30,000,000"
TSLA,filters,"$ADV20 $12,318,884 < $30,000,000"
FUNC,scoring,score_below_min
NVGS,filters,"$ADV20 $467,222 < $30,000,000"
HWKN,filters,"$ADV20 $467,222 < $30,000,000"
PEP,filters,"$ADV20 $467,222 < $30,000,000"
FNKO,filters,"Price $4.69 < $5.00; $ADV20 $5,433,344 < $30,000,000"
BXP,filters,"Price $4.69 < $5.00; $ADV20 $5,433,344 < $30,000,000"
ABCB,scoring,score_below_min
GCBC,scoring,score_below_min
AZTA,scoring,score_below_min
SEI,filters,"$ADV20 $27,554,216 < $30,000,000"
GAMB,filters,"$ADV20 $27,554,216 < $30,000,000"
BLKB,filters,"$ADV20 $263,019 < $30,000,000"
VSTM,filters,"$ADV20 $263,019 < $30,000,000"
ADM,filters,"$ADV20 $263,019 < $30,000,000"
EOSE,scoring,score_below_min
WTS,filters,"$ADV20 $611,859 < $30,000,000"
ALL,filters,"$ADV20 $611,859 < $30,000,000"
VERX,filters,"Price $4.38 < $5.00; $ADV20 $2,636,024 < $30,000,000"
FET,filters,"$ADV20 $9,374,433 < $30,000,000"
TTAM,filters,"$ADV20 $9,374,433 < $30,000,000"
PX,filters,"$ADV20 $19,127,424 < $30,000,000"
OII,scoring,score_below_min
AWK,scoring,score_below_min
SNDX,signal,stress_blocked
RGTI,filters,5d return 19.7% > 15.0% (avoiding chased names)
PLUG,filters,"$ADV20 $24,927,790 < $30,000,000"
AGIO,filters,"$ADV20 $24,927,790 < $30,000,000"
FWRD,filters,"$ADV20 $24,927,790 < $30,000,000"
SLP,filters,"$ADV20 $24,927,790 < $30,000,000"
XHR,scoring,score_below_min
ENVX,scoring,score_below_min
GIC,scoring,score_below_min
SCHW,scoring,score_below_min
CVBF,scoring,score_below_min
GNW,scoring,score_below_min
FBRT,scoring,score_below_min
WBTN,scoring,score_below_min
UUUU,filters,Price $1.81 < $5.00
BSRR,filters,Price $1.81 < $5.00
YOU,filters,"$ADV20 $6,526,583 < $30,000,000"
CBOE,signal,stress_blocked
NSIT,filters,"$ADV20 $4,662,487 < $30,000,000"
