ticker,stage,reason
CZNC,filters,avg_vol_20d 218620 < 1000000
CZWI,filters,price 6.00 < 8.0
DAKT,filters,avg_vol_20d 106087 < 1000000
DAN,filters,price 4.05 < 8.0
DAVE,filters,rvol 0.64 < 1.3
DAWN,filters,avg_vol_20d 433060 < 1000000
DBD,filters,adv20 22422394 < 30000000
DBI,filters,avg_vol_20d 873219 < 1000000
DBRG,filters,adv20 26047206 < 30000000
DC,filters,price 5.75 < 8.0
DCO,filters,avg_vol_20d 441460 < 1000000
DCOM,filters,rvol 0.81 < 1.3
DCTH,filters,rvol 0.62 < 1.3
DDD,filters,rvol 0.89 < 1.3
DEA,setup,did_not_meet_breakout_or_reversal
DEC,filters,avg_vol_20d 86594 < 1000000
DEI,filters,price 4.39 < 8.0
DENN,filters,price 6.25 < 8.0
DERM,filters,rvol 0.52 < 1.3
DFH,filters,rvol 0.55 < 1.3
DFIN,filters,avg_vol_20d 333103 < 1000000
DGICA,filters,price 6.92 < 8.0
DGII,filters,rvol 0.48 < 1.3
DH,filters,avg_vol_20d 94737 < 1000000
DHC,filters,avg_vol_20d 852417 < 1000000
DHIL,filters,price 4.43 < 8.0
DHT,filters,avg_vol_20d 180102 < 1000000
DIN,filters,rvol 0.79 < 1.3
DIOD,filters,avg_vol_20d 300849 < 1000000
DJCO,filters,avg_vol_20d 86594 < 1000000
DK,filters,price 7.47 < 8.0
DLX,filters,rvol 0.68 < 1.3
DMAC,filters,avg_vol_20d 815368 < 1000000
DNA,data,empty_or_short_history
DNLI,filters,rvol 0.85 < 1.3
DNOW,filters,avg_vol_20d 978414 < 1000000
DNTH,filters,rvol 0.97 < 1.3
DNUT,filters,price 5.62 < 8.0
DOLE,filters,rvol 0.72 < 1.3
DOMO,filters,avg_vol_20d 173466 < 1000000
DORM,filters,price 6.61 < 8.0
DOUG,filters,avg_vol_20d 324203 < 1000000
DRH,filters,rvol 0.76 < 1.3
DRUG,filters,avg_vol_20d 397354 < 1000000
DRVN,filters,avg_vol_20d 929810 < 1000000
DSGN,filters,avg_vol_20d 746831 < 1000000
DSGR,filters,avg_vol_20d 178029 < 1000000
DSP,filters,rvol 1.04 < 1.3
DVAX,filters,avg_vol_20d 520418 < 1000000
DX,filters,avg_vol_20d 72951 < 1000000
DXPE,filters,avg_vol_20d 338781 < 1000000
DY,filters,price 7.39 < 8.0
DYN,filters,adv20 20539007 < 30000000
EAT,filters,avg_vol_20d 201908 < 1000000
EB,filters,price 4.43 < 8.0
EBC,filters,price 3.19 < 8.0
EBF,filters,avg_vol_20d 956618 < 1000000
EBMT,filters,avg_vol_20d 254262 < 1000000
EBS,filters,adv20 28730859 < 30000000
ECBK,filters,avg_vol_20d 418822 < 1000000
ECPG,filters,avg_vol_20d 623628 < 1000000
ECVT,filters,avg_vol_20d 63258 < 1000000
EDIT,filters,price 3.10 < 8.0
EE,filters,price 5.87 < 8.0
EEX,filters,avg_vol_20d 155099 < 1000000
EFC,filters,rvol 1.29 < 1.3
EFSC,filters,avg_vol_20d 659138 < 1000000
EFSI,filters,avg_vol_20d 14454 < 1000000
EGAN,filters,price 1.82 < 8.0
EGBN,filters,avg_vol_20d 316062 < 1000000
EGHT,filters,avg_vol_20d 95076 < 1000000
EGY,filters,price 6.88 < 8.0
EHAB,filters,adv20 27796899 < 30000000
EHTH,filters,price 3.63 < 8.0
EIG,filters,avg_vol_20d 890241 < 1000000
ELA,filters,avg_vol_20d 66144 < 1000000
ELDN,filters,rvol 0.99 < 1.3
ELMD,filters,avg_vol_20d 95076 < 1000000
ELME,filters,avg_vol_20d 705456 < 1000000
ELVN,filters,rvol 0.60 < 1.3
EMBC,filters,rvol 1.00 < 1.3
EML,filters,price 2.80 < 8.0
ENOV,filters,adv20 29988956 < 30000000
ENPH,filters,avg_vol_20d 273000 < 1000000
ENR,filters,rvol 0.71 < 1.3
ENS,filters,avg_vol_20d 168304 < 1000000
ENSG,filters,rvol 0.87 < 1.3
ENTA,filters,avg_vol_20d 273000 < 1000000
ENVA,filters,avg_vol_20d 161043 < 1000000
ENVX,filters,rvol 0.55 < 1.3
EOLS,filters,price 1.59 < 8.0
EOSE,filters,rvol 0.51 < 1.3
EP,filters,avg_vol_20d 504826 < 1000000
EPAC,filters,rvol 0.80 < 1.3
EPC,filters,avg_vol_20d 54970 < 1000000
EPM,filters,price 5.62 < 8.0
EPRT,filters,rvol 0.42 < 1.3
EPSN,filters,price 2.10 < 8.0
EQBK,filters,avg_vol_20d 108447 < 1000000
ERAS,filters,adv20 24158505 < 30000000
