ticker,stage,reason
RIOT,filters,"$ADV20 $7,860,161 < $30,000,000"
FANG,filters,"$ADV20 $2,755,142 < $30,000,000"
ATEN,filters,"$ADV20 $19,604,843 < $30,000,000"
RYAM,filters,"$ADV20 $19,604,843 < $30,000,000"
CVRX,filters,"$ADV20 $19,604,843 < $30,000,000"
ORC,filters,"$ADV20 $10,196,658 < $30,000,000; 5d return 33.0% > 15.0% (avoiding chased names)"
MCHB,filters,"$ADV20 $5,982,640 < $30,000,000"
BELFB,filters,"$ADV20 $5,982,640 < $30,000,000"
PMT,filters,"$ADV20 $5,982,640 < $30,000,000"
JACK,filters,"$ADV20 $13,229,408 < $30,000,000"
NRDY,filters,"$ADV20 $13,229,408 < $30,000,000"
MIR,filters,"$ADV20 $13,229,408 < $30,000,000"
JMSB,filters,"Price $0.94 < $5.00; $ADV20 $694,435 < $30,000,000"
HLIT,filters,"$ADV20 $12,384,896 < $30,000,000"
TH,filters,"$ADV20 $514,464 < $30,000,000"
ADUS,scoring,tech_score_below_min_5.5
HFWA,filters,"$ADV20 $358,491 < $30,000,000"
SKYT,scoring,tech_score_below_min_5.5
GDOT,scoring,tech_score_below_min_5.5
KO,filters,"$ADV20 $7,962,990 < $30,000,000"
ECPG,filters,"$ADV20 $7,420,352 < $30,000,000"
RIGL,filters,"$ADV20 $7,420,352 < $30,000,000"
NLOP,filters,"$ADV20 $10,204,594 < $30,000,000"
MBC,filters,"$ADV20 $14,612,553 < $30,000,000; 5d return 25.3% > 15.0% (avoiding chased names)"
NTAP,filters,"$ADV20 $14,612,553 < $30,000,000; 5d return 25.3% > 15.0% (avoiding chased names)"
STXS,filters,"$ADV20 $5,188,194 < $30,000,000"
NBBK,filters,"$ADV20 $12,339,034 < $30,000,000"
MPB,filters,"$ADV20 $12,339,034 < $30,000,000"
JJSF,filters,"$ADV20 $12,339,034 < $30,000,000"
VSEC,filters,"$ADV20 $12,339,034 < $30,000,000"
BRSP,filters,"$ADV20 $12,339,034 < $30,000,000"
PPIH,filters,"$ADV20 $12,339,034 < $30,000,000"
MYO,filters,"$ADV20 $12,339,034 < $30,000,000"
GBX,filters,"Price $2.22 < $5.00; $ADV20 $972,391 < $30,000,000"
FVCB,filters,"$ADV20 $7,957,126 < $30,000,000"
EXC,filters,"$ADV20 $7,957,126 < $30,000,000"
XPER,filters,"$ADV20 $4,062,469 < $30,000,000"
GEN,filters,"$ADV20 $4,062,469 < $30,000,000"
POWW,filters,"$ADV20 $4,062,469 < $30,000,000"
VITL,filters,"$ADV20 $4,062,469 < $30,000,000"
JOE,filters,"$ADV20 $27,440,020 < $30,000,000"
BLDR,filters,"$ADV20 $27,440,020 < $30,000,000"
DOUG,filters,"$ADV20 $27,440,020 < $30,000,000"
GWRS,scoring,tech_score_below_min_5.5
BIIB,scoring,tech_score_below_min_5.5
GD,filters,"$ADV20 $946,538 < $30,000,000"
WSR,filters,"Price $2.06 < $5.00; $ADV20 $1,489,739 < $30,000,000"
PRME,filters,"Price $2.30 < $5.00; $ADV20 $1,857,798 < $30,000,000"
BOW,filters,"$ADV20 $503,904 < $30,000,000"
DGII,scoring,tech_score_below_min_5.5
NDAQ,scoring,tech_score_below_min_5.5
BEAM,filters,"$ADV20 $3,283,351 < $30,000,000"
HDSN,filters,"$ADV20 $17,411,199 < $30,000,000"
ADI,filters,"$ADV20 $6,927,045 < $30,000,000"
WRLD,filters,"$ADV20 $13,512,396 < $30,000,000"
GNL,filters,"$ADV20 $13,512,396 < $30,000,000"
HWC,filters,"$ADV20 $13,512,396 < $30,000,000"
QLYS,scoring,tech_score_below_min_5.5
TRNO,scoring,tech_score_below_min_5.5
AFL,scoring,tech_score_below_min_5.5
CTLP,scoring,tech_score_below_min_5.5
AEE,filters,"$ADV20 $18,723,273 < $30,000,000"
CAH,filters,"$ADV20 $18,723,273 < $30,000,000"
KLAC,scoring,tech_score_below_min_5.5
STT,scoring,tech_score_below_min_5.5
DELL,scoring,tech_score_below_min_5.5
NXDR,filters,"$ADV20 $11,183,035 < $30,000,000"
SFIX,scoring,tech_score_below_min_5.5
MFIN,scoring,tech_score_below_min_5.5
ANGI,filters,"$ADV20 $11,183,035 < $30,000,000"
ORIC,scoring,tech_score_below_min_5.5
MQ,filters,"Price $1.70 < $5.00; $ADV20 $5,695,786 < $30,000,000"
PXED,filters,"$ADV20 $12,193,207 < $30,000,000"
MATX,filters,"$ADV20 $12,193,207 < $30,000,000"
BWIN,filters,"$ADV20 $567,565 < $30,000,000"
SMCI,scoring,tech_score_below_min_5.5
PLAB,filters,"$ADV20 $10,120,503 < $30,000,000"
JILL,scoring,tech_score_below_min_5.5
RBB,scoring,tech_score_below_min_5.5
WT,scoring,tech_score_below_min_5.5
HQY,filters,"Price $3.89 < $5.00; $ADV20 $19,783,510 < $30,000,000"
CWH,filters,"$ADV20 $1,562,103 < $30,000,000"
NPB,scoring,tech_score_below_min_5.5
CENT,filters,"$ADV20 $4,129,455 < $30,000,000"
FOA,filters,"$ADV20 $1,648,728 < $30,000,000"
ABAT,filters,"$ADV20 $1,648,728 < $30,000,000"
GTY,filters,"$ADV20 $1,648,728 < $30,000,000"
AI,filters,"$ADV20 $1,648,728 < $30,000,000"
NUVL,scoring,tech_score_below_min_5.5
ALMS,scoring,tech_score_below_min_5.5
RHLD,filters,"$ADV20 $3,431,626 < $30,000,000"
RL,scoring,tech_score_below_min_5.5
OBK,scoring,tech_score_below_min_5.5
RDNT,scoring,tech_score_below_min_5.5
VYX,scoring,tech_score_below_min_5.5
EXPI,filters,"$ADV20 $8,702,975 < $30,000,000"
PNC,filters,"$ADV20 $8,702,975 < $30,000,000"
LTH,filters,"$ADV20 $8,702,975 < $30,000,000"
PSTL,scoring,tech_score_below_min_5.5
TNGX,scoring,tech_score_below_min_5.5
GILD,scoring,tech_score_below_min_5.5
BALY,filters,"$ADV20 $1,267,836 < $30,000,000"
RES,filters,"$ADV20 $1,267,836 < $30,000,000"
EXFY,filters,"Price $0.93 < $5.00; $ADV20 $1,004,518 < $30,000,000"
PRK,filters,"Price $0.93 < $5.00; $ADV20 $1,004,518 < $30,000,000"
RCKT,filters,"$ADV20 $16,699,441 < $30,000,000"
AGYS,filters,"$ADV20 $16,699,441 < $30,000,000"
ALLE,filters,"Price $4.97 < $5.00; $ADV20 $10,058,993 < $30,000,000; 5d return 24.6% > 15.0% (avoiding chased names)"
STEP,filters,"$ADV20 $11,505,299 < $30,000,000"
ILPT,scoring,tech_score_below_min_5.5
PFIS,filters,"$ADV20 $1,377,161 < $30,000,000"
KRUS,filters,"$ADV20 $1,539,416 < $30,000,000"
MAPS,filters,"$ADV20 $1,539,416 < $30,000,000"
BABA,filters,"Price $0.68 < $5.00; $ADV20 $723,939 < $30,000,000"
EU,filters,"Price $2.32 < $5.00; $ADV20 $8,504,818 < $30,000,000"
SO,filters,"Price $2.32 < $5.00; $ADV20 $8,504,818 < $30,000,000"
APLE,filters,"Price $2.32 < $5.00; $ADV20 $8,504,818 < $30,000,000"
RVSB,filters,"Price $2.32 < $5.00; $ADV20 $8,504,818 < $30,000,000"
SYK,filters,"$ADV20 $26,423,925 < $30,000,000"
AIN,filters,"$ADV20 $26,423,925 < $30,000,000"
AGM,scoring,tech_score_below_min_5.5
CADE,scoring,tech_score_below_min_5.5
ICE,filters,"$ADV20 $18,635,238 < $30,000,000"
LEGH,scoring,tech_score_below_min_5.5
FLG,scoring,tech_score_below_min_5.5
PZZA,scoring,tech_score_below_min_5.5
AOS,scoring,tech_score_below_min_5.5
HCA,scoring,tech_score_below_min_5.5
SKIN,scoring,tech_score_below_min_5.5
BVS,scoring,tech_score_below_min_5.5
SMLR,filters,"$ADV20 $2,391,932 < $30,000,000"
CGON,scoring,tech_score_below_min_5.5
BBCP,filters,"$ADV20 $581,437 < $30,000,000"
VC,filters,"$ADV20 $581,437 < $30,000,000"
EFX,filters,"$ADV20 $21,676,342 < $30,000,000"
CIVB,scoring,tech_score_below_min_5.5
PATH,filters,"$ADV20 $21,676,342 < $30,000,000"
QCOM,scoring,tech_score_below_min_5.5
ONEW,scoring,tech_score_below_min_5.5
ATXS,scoring,tech_score_below_min_5.5
MSGE,scoring,tech_score_below_min_5.5
PSX,filters,"$ADV20 $2,069,707 < $30,000,000"
UTMD,scoring,tech_score_below_min_5.5
SIBN,scoring,tech_score_below_min_5.5
J,filters,"$ADV20 $23,065,074 < $30,000,000"
TROX,filters,"$ADV20 $8,754,333 < $30,000,000"
HLT,filters,"$ADV20 $8,754,333 < $30,000,000"
EW,scoring,tech_score_below_min_5.5
