as_of_date,ticker,listed_on_or_before,delisted_after,source_file,source_sha256
2021-01-29,000738.SZ,1997-06-26,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000739.SZ,1997-05-09,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000750.SZ,1997-07-09,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000761.SZ,1998-01-15,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000767.SZ,1997-06-09,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000768.SZ,1997-06-26,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000776.SZ,1997-06-11,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000778.SZ,1997-06-06,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000783.SZ,1997-07-31,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000786.SZ,1997-06-06,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000789.SZ,1997-09-23,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000799.SZ,1997-07-18,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000807.SZ,1998-04-08,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000818.SZ,1997-10-17,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000825.SZ,1998-10-21,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000830.SZ,1998-08-07,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000831.SZ,1998-09-11,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000858.SZ,1998-04-27,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000860.SZ,1998-11-04,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000869.SZ,2000-10-26,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000876.SZ,1998-03-11,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000877.SZ,1999-01-07,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000878.SZ,1998-06-02,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000883.SZ,1998-05-19,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000887.SZ,1998-12-03,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000895.SZ,1998-12-10,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000898.SZ,1997-12-25,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000902.SZ,1999-04-08,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000913.SZ,1999-05-14,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000921.SZ,1999-07-13,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000923.SZ,1999-07-14,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000930.SZ,1999-07-12,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000932.SZ,1999-08-03,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000933.SZ,1999-08-31,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000935.SZ,1999-08-24,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000938.SZ,1999-11-04,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
