ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399006.SZ,2015-11-05,2564.722,2587.819,2630.826,2542.848,2584.317,-19.595,-0.7582,25809207.81,77257734.30765
399006.SZ,2015-11-06,2661.412,2571.656,2666.399,2571.656,2564.722,96.69,3.77,24149369.98,71296028.99711
399006.SZ,2015-11-09,2724.619,2653.309,2747.787,2612.263,2661.412,63.207,2.3749,25798448.15,79976259.35904
399006.SZ,2015-11-10,2746.609,2710.899,2783.118,2700.286,2724.619,21.99,0.8071,24161190.23,71799078.01623
399006.SZ,2015-11-11,2804.677,2738.584,2806.536,2730.52,2746.609,58.068,2.1142,27655097.73,73818609.76777
399006.SZ,2015-11-12,2783.298,2818.568,2827.711,2743.26,2804.677,-21.379,-0.7623,28310939.87,83094741.92796
399006.SZ,2015-11-13,2710.161,2751.386,2772.815,2681.606,2783.298,-73.137,-2.6277,25001146.55,68218121.60795
399006.SZ,2015-11-16,2797.162,2656.574,2797.162,2654.636,2710.161,87.001,3.2102,20974444.16,59082753.75669
399006.SZ,2015-11-17,2717.052,2834.98,2847.899,2711.583,2797.162,-80.11,-2.864,28119738.13,82923630.90396
399006.SZ,2015-11-18,2661.165,2727.61,2741.327,2655.061,2717.052,-55.887,-2.0569,19646365.88,56844600.47913
399006.SZ,2015-11-19,2770.752,2678.355,2770.752,2676.755,2661.165,109.587,4.118,22563937.66,64197541.189
399006.SZ,2015-11-20,2800.15,2783.036,2817.961,2757.839,2770.752,29.398,1.061,28888696.16,79683009.58323
399006.SZ,2015-11-23,2770.577,2797.122,2839.843,2759.306,2800.15,-29.573,-1.0561,25839668.59,72793084.00137
399006.SZ,2015-11-24,2816.048,2767.723,2816.048,2739.517,2770.577,45.471,1.6412,19467264.21,57396106.96445
399006.SZ,2015-11-25,2897.569,2813.51,2906.796,2806.819,2816.048,81.521,2.8949,24705878.22,78107330.30588
399006.SZ,2015-11-26,2833.198,2911.853,2915.95,2831.381,2897.569,-64.371,-2.2216,23759483.76,73789879.62801
399006.SZ,2015-11-27,2649.55,2819.364,2844.053,2629.125,2833.198,-183.648,-6.482,24403851.78,71124931.1994
399006.SZ,2015-11-30,2672.581,2658.972,2687.047,2507.381,2649.55,23.031,0.8692,22206195.12,62131175.87987
399006.SZ,2015-12-01,2655.345,2669.302,2700.346,2621.167,2672.581,-17.236,-0.6449,17104021.44,47434636.46703
399006.SZ,2015-12-02,2613.263,2653.237,2660.115,2525.342,2655.345,-42.082,-1.5848,15900285.91,42837347.00764
399006.SZ,2015-12-03,2708.123,2622.486,2710.807,2622.486,2613.263,94.86,3.6299,17065282.23,50985244.45407
399006.SZ,2015-12-04,2692.161,2702.563,2749.179,2679.351,2708.123,-15.962,-0.5894,17844633.06,57084647.77784
399006.SZ,2015-12-07,2738.149,2699.337,2751.239,2687.022,2692.161,45.988,1.7082,16420046.12,48309134.8508
399006.SZ,2015-12-08,2691.658,2723.619,2731.715,2678.661,2738.149,-46.491,-1.6979,18705171.96,53104323.75449
399006.SZ,2015-12-09,2667.912,2677.587,2699.636,2650.445,2691.658,-23.746,-0.8822,16154545.39,46008649.8779
399006.SZ,2015-12-10,2695.507,2665.275,2729.238,2663.374,2667.912,27.595,1.0343,16327733.37,50231724.7376
399006.SZ,2015-12-11,2671.292,2686.305,2701.686,2666.887,2695.507,-24.215,-0.8983,13643432.56,40853174.60946
399006.SZ,2015-12-14,2709.265,2642.817,2709.265,2622.473,2671.292,37.973,1.4215,13383006.53,41069947.66869
399006.SZ,2015-12-15,2745.7,2718.251,2764.795,2718.251,2709.265,36.435,1.3448,14459220.69,44835133.69516
399006.SZ,2015-12-16,2763.114,2760.256,2789.276,2749.795,2745.7,17.414,0.6342,15083848.18,46446126.51565
399006.SZ,2015-12-17,2835.701,2784.97,2835.701,2784.97,2763.114,72.587,2.627,20055959.53,60616142.37267
399006.SZ,2015-12-18,2830.259,2836.916,2850.693,2801.635,2835.701,-5.442,-0.1919,17824894.61,56327925.84477
399006.SZ,2015-12-21,2829.921,2825.315,2836.608,2800.349,2830.259,-0.338,-0.0119,14937293.06,46653540.29672
399006.SZ,2015-12-22,2839.852,2836.957,2849.36,2811.606,2829.921,9.931,0.3509,13134517.19,40474306.12214
399006.SZ,2015-12-23,2783.942,2845.434,2848.829,2779.926,2839.852,-55.91,-1.9688,16247176.07,48497398.55464
399006.SZ,2015-12-24,2795.78,2775.984,2801.565,2735.969,2783.942,11.838,0.4252,13241041.7,39336992.36864
399006.SZ,2015-12-25,2794.73,2807.514,2820.532,2777.457,2795.78,-1.05,-0.0376,12162058.81,37289008.18143
399006.SZ,2015-12-28,2735.485,2809.519,2823.748,2735.485,2794.73,-59.245,-2.1199,15497676.33,46071376.65474
399006.SZ,2015-12-29,2749.822,2732.554,2749.822,2710.199,2735.485,14.337,0.5241,12769369.85,37734860.73773
399006.SZ,2015-12-30,2779.513,2758.25,2781.84,2749.289,2749.822,29.691,1.0797,13512855.1,40557180.31871
399006.SZ,2015-12-31,2714.048,2780.539,2785.656,2713.689,2779.513,-65.465,-2.3553,12958631.82,38196425.37288
399006.SZ,2016-01-04,2491.24,2706.275,2710.299,2490.469,2714.048,-222.808,-8.2094,12240174.47,34690876.84809
399006.SZ,2016-01-05,2416.725,2353.233,2481.202,2333.608,2491.24,-74.515,-2.9911,18289330.5,48529951.84063
399006.SZ,2016-01-06,2468.366,2433.358,2472.19,2388.69,2416.725,51.641,2.1368,14194459.13,40120477.28187
399006.SZ,2016-01-07,2256.524,2415.329,2415.329,2254.496,2468.366,-211.842,-8.5823,3875525.59,10070549.92143
399006.SZ,2016-01-08,2248.99,2297.592,2318.123,2142.326,2256.524,-7.534,-0.3339,16502293.9,42326631.94266
399006.SZ,2016-01-11,2106.358,2188.188,2230.423,2105.771,2248.99,-142.632,-6.342,15208926.9,37731800.67952
399006.SZ,2016-01-12,2147.531,2117.251,2179.088,2087.272,2106.358,41.173,1.9547,14396596.54,36459528.2556
399006.SZ,2016-01-13,2059.776,2160.323,2174.227,2059.776,2147.531,-87.755,-4.0863,12465368.58,30616308.65749
399006.SZ,2016-01-14,2175.012,1991.232,2179.379,1989.865,2059.776,115.236,5.5946,15648666.41,37883978.78146
399006.SZ,2016-01-15,2112.902,2160.174,2184.563,2096.186,2175.012,-62.11,-2.8556,15910294.01,37021351.35168
399006.SZ,2016-01-18,2174.934,2074.858,2206.835,2074.858,2112.902,62.032,2.9359,16267626.9,37643016.06528
399006.SZ,2016-01-19,2241.696,2170.094,2244.785,2148.72,2174.934,66.762,3.0696,17700322.0,42165841.70798
399006.SZ,2016-01-20,2204.648,2222.601,2249.355,2190.505,2241.696,-37.048,-1.6527,15451188.53,36631031.68365
399006.SZ,2016-01-21,2112.404,2173.315,2241.471,2112.404,2204.648,-92.244,-4.1841,14945202.85,34236585.5422
399006.SZ,2016-01-22,2149.586,2140.281,2161.236,2078.117,2112.404,37.182,1.7602,13609891.45,29320081.80924
399006.SZ,2016-01-25,2158.824,2165.726,2185.213,2136.875,2149.586,9.238,0.4298,11334177.91,25068789.2883
399006.SZ,2016-01-26,1994.047,2132.217,2135.565,1990.514,2158.824,-164.777,-7.6327,13385707.62,28932546.76312
399006.SZ,2016-01-27,1997.465,1997.316,2012.296,1888.25,1994.047,3.418,0.1714,15926521.0,32691894.46195
399006.SZ,2016-01-28,1906.461,1969.309,1990.916,1900.882,1997.465,-91.004,-4.556,11454203.89,23351736.31709
399006.SZ,2016-01-29,1994.065,1908.262,2011.057,1907.289,1906.461,87.604,4.5951,12809874.93,26899449.77638
399006.SZ,2016-02-01,1992.695,1989.207,2011.679,1956.92,1994.065,-1.37,-0.0687,11156089.2,23757806.30925
399006.SZ,2016-02-02,2075.287,1996.594,2089.214,1996.594,1992.695,82.592,4.1447,13287649.25,29444891.25327
399006.SZ,2016-02-03,2090.513,2049.324,2105.38,2034.602,2075.287,15.226,0.7337,12089846.31,27067876.14159
399006.SZ,2016-02-04,2126.636,2095.617,2142.869,2095.617,2090.513,36.123,1.7279,13143008.22,30229997.51186
399006.SZ,2016-02-05,2096.986,2127.347,2141.556,2096.986,2126.636,-29.65,-1.3942,9064702.65,21097333.61831
399006.SZ,2016-02-15,2116.838,2029.556,2130.362,2029.556,2096.986,19.852,0.9467,10100667.95,22602402.13036
399006.SZ,2016-02-16,2201.925,2128.056,2208.572,2128.056,2116.838,85.087,4.0195,13912171.3,33527171.60801
399006.SZ,2016-02-17,2215.341,2197.925,2219.783,2170.998,2201.925,13.416,0.6093,14618497.34,33892026.43109
399006.SZ,2016-02-18,2190.911,2230.799,2239.91,2188.187,2215.341,-24.43,-1.1028,14019500.93,32817923.78032
399006.SZ,2016-02-19,2211.006,2186.015,2230.216,2182.959,2190.911,20.095,0.9172,13407241.52,31840088.87197
399006.SZ,2016-02-22,2245.564,2235.17,2245.564,2216.156,2211.006,34.558,1.563,15090614.9,37118424.01057
399006.SZ,2016-02-23,2218.119,2245.75,2249.691,2189.527,2245.564,-27.445,-1.2222,13926609.59,34508757.08209
399006.SZ,2016-02-24,2203.741,2212.589,2230.006,2154.274,2218.119,-14.378,-0.6482,12884021.69,31586512.33169
399006.SZ,2016-02-25,2037.143,2198.928,2198.928,2030.42,2203.741,-166.598,-7.5598,15298955.1,35410092.17777
399006.SZ,2016-02-26,2014.92,2045.51,2057.802,1980.166,2037.143,-22.223,-1.0909,12366693.47,27393046.85257
399006.SZ,2016-02-29,1880.146,2000.572,2000.572,1866.25,2014.92,-134.774,-6.6888,13247568.05,27442483.97412
399006.SZ,2016-03-01,1934.919,1881.321,1952.432,1841.224,1880.146,54.773,2.9132,13456661.17,28130045.24982
399006.SZ,2016-03-02,2017.604,1930.842,2022.863,1925.023,1934.919,82.685,4.2733,16949154.82,33986258.80014
399006.SZ,2016-03-03,2007.076,2014.179,2063.531,2006.707,2017.604,-10.528,-0.5218,16805473.6,35109123.11507
399006.SZ,2016-03-04,1907.041,1994.061,2003.689,1895.396,2007.076,-100.035,-4.9841,15220975.09,30180366.28694
399006.SZ,2016-03-07,1953.332,1935.093,1995.937,1935.093,1907.041,46.291,2.4274,11623160.7,23586936.62338
399006.SZ,2016-03-08,2002.191,1944.648,2002.191,1865.65,1953.332,48.859,2.5013,15627421.76,30777183.94942
399006.SZ,2016-03-09,1970.813,1962.277,2015.706,1947.045,2002.191,-31.378,-1.5672,13303672.37,26228076.24895
399006.SZ,2016-03-10,1936.968,1968.766,1991.357,1935.119,1970.813,-33.845,-1.7173,10508018.2,22314497.80533
399006.SZ,2016-03-11,1934.87,1911.325,1948.601,1903.924,1936.968,-2.098,-0.1083,8487655.64,17130416.71097
399006.SZ,2016-03-14,2023.128,1962.105,2048.497,1962.105,1934.87,88.258,4.5614,16134405.48,34589588.68932
399006.SZ,2016-03-15,1996.92,2016.807,2034.702,1995.456,2023.128,-26.208,-1.2954,12167059.89,25538884.27804
399006.SZ,2016-03-16,1977.538,2029.919,2039.486,1961.418,1996.92,-19.382,-0.9706,12220455.27,25677500.72834
399006.SZ,2016-03-17,2087.293,1986.144,2089.136,1986.144,1977.538,109.755,5.5501,21074139.27,46452580.28597
399006.SZ,2016-03-18,2177.87,2102.19,2194.355,2102.079,2087.293,90.577,4.3394,25596839.1,59078987.17975
399006.SZ,2016-03-21,2227.034,2214.913,2234.35,2191.662,2177.87,49.164,2.2574,25540998.14,62305308.35312
399006.SZ,2016-03-22,2221.702,2201.194,2248.186,2189.935,2227.034,-5.332,-0.2394,21060006.65,48735069.00752
399006.SZ,2016-03-23,2259.106,2214.87,2259.106,2205.072,2221.702,37.404,1.6836,19052794.26,47906638.72362
399006.SZ,2016-03-24,2219.77,2234.215,2277.917,2217.843,2259.106,-39.336,-1.7412,21400929.07,55211267.57213
399006.SZ,2016-03-25,2216.086,2209.26,2232.073,2183.601,2219.77,-3.684,-0.166,15154009.2,37179629.43779
399006.SZ,2016-03-28,2199.685,2233.131,2259.131,2192.35,2216.086,-16.401,-0.7401,16260472.48,40556829.59183
399006.SZ,2016-03-29,2152.548,2190.875,2194.885,2130.851,2199.685,-47.137,-2.1429,14170516.04,36286919.13673
399006.SZ,2016-03-30,2248.783,2172.741,2248.783,2172.741,2152.548,96.235,4.4707,17405975.02,45938026.80677
399006.SZ,2016-03-31,2238.286,2256.431,2271.964,2232.302,2248.783,-10.497,-0.4668,18124976.45,48357366.59026
399006.SZ,2016-04-01,2205.369,2223.377,2226.998,2171.341,2238.286,-32.917,-1.4706,15701246.07,40964810.77151
399006.SZ,2016-04-05,2279.52,2207.464,2285.201,2205.438,2205.369,74.151,3.3623,19764938.41,51013395.81283
399006.SZ,2016-04-06,2297.041,2274.772,2305.409,2271.502,2279.52,17.521,0.7686,20912036.21,53867287.01256
399006.SZ,2016-04-07,2248.684,2310.923,2316.629,2248.684,2297.041,-48.357,-2.1052,20302345.13,52062248.80397
399006.SZ,2016-04-08,2229.934,2230.951,2239.805,2194.234,2248.684,-18.75,-0.8338,17946971.66,44668861.37386
399006.SZ,2016-04-11,2283.143,2255.069,2301.412,2255.069,2229.934,53.209,2.3861,19946625.39,50305784.62929
399006.SZ,2016-04-12,2264.016,2283.211,2289.545,2236.442,2283.143,-19.127,-0.8377,17078210.48,43188526.15176
399006.SZ,2016-04-13,2294.015,2278.522,2330.055,2278.522,2264.016,29.999,1.325,21776634.76,57540166.96371
399006.SZ,2016-04-14,2324.394,2310.596,2325.378,2289.567,2294.015,30.379,1.3243,18334978.09,45817203.18426
399006.SZ,2016-04-15,2309.676,2328.312,2328.312,2297.675,2324.394,-14.718,-0.6332,14526977.06,37341335.62124
399006.SZ,2016-04-18,2265.593,2288.42,2288.42,2249.339,2309.676,-44.083,-1.9086,14309772.06,35185179.51947
399006.SZ,2016-04-19,2272.52,2278.307,2289.049,2253.592,2265.593,6.927,0.3057,13004320.38,31835138.05149
399006.SZ,2016-04-20,2145.239,2279.758,2284.104,2119.424,2272.52,-127.281,-5.6009,21667036.26,49474321.00951
399006.SZ,2016-04-21,2110.162,2135.932,2160.258,2106.968,2145.239,-35.077,-1.6351,12784062.96,28431867.63593
399006.SZ,2016-04-22,2136.924,2093.781,2136.924,2090.95,2110.162,26.762,1.2682,10471911.79,24543828.07126
399006.SZ,2016-04-25,2126.834,2128.655,2130.06,2083.635,2136.924,-10.09,-0.4722,9557990.94,21483142.67893
399006.SZ,2016-04-26,2155.697,2123.874,2155.697,2119.379,2126.834,28.863,1.3571,8911518.34,19957192.72594
399006.SZ,2016-04-27,2146.611,2162.762,2176.333,2142.462,2155.697,-9.086,-0.4215,10479199.6,23940155.40513
399006.SZ,2016-04-28,2155.229,2149.102,2158.492,2108.268,2146.611,8.618,0.4015,10123270.34,23283082.35367
399006.SZ,2016-04-29,2138.738,2141.58,2162.194,2138.738,2155.229,-16.491,-0.7652,8024639.86,19069602.05225
399006.SZ,2016-05-03,2217.23,2138.963,2217.23,2126.874,2138.738,78.492,3.67,14551231.61,33735215.32421
399006.SZ,2016-05-04,2211.018,2210.13,2233.591,2206.264,2217.23,-6.212,-0.2802,13671722.32,31455176.43079
399006.SZ,2016-05-05,2224.095,2208.397,2226.553,2198.762,2211.018,13.077,0.5914,10800328.13,25028413.7547
399006.SZ,2016-05-06,2129.194,2226.444,2235.959,2129.194,2224.095,-94.901,-4.2669,16054793.36,35514669.11864
399006.SZ,2016-05-09,2053.597,2107.333,2107.333,2045.122,2129.194,-75.597,-3.5505,12230330.98,25530884.6835
399006.SZ,2016-05-10,2054.222,2051.376,2067.617,2044.281,2053.597,0.625,0.0304,7658732.18,16100170.40214
399006.SZ,2016-05-11,2034.925,2067.69,2073.834,2032.296,2054.222,-19.297,-0.9394,9382617.25,19415467.305
399006.SZ,2016-05-12,2034.565,2006.258,2039.318,1975.065,2034.925,-0.36,-0.0177,9177545.93,18597274.72892
399006.SZ,2016-05-13,2025.223,2030.941,2058.656,2013.863,2034.565,-9.342,-0.4592,8301000.65,16850174.89582
399006.SZ,2016-05-16,2057.857,2017.843,2057.857,2008.54,2025.223,32.634,1.6114,9415721.15,18613618.84125
399006.SZ,2016-05-17,2081.44,2059.515,2107.731,2036.884,2057.857,23.583,1.146,13540442.12,27968828.90884
399006.SZ,2016-05-18,2020.475,2062.811,2062.811,2000.526,2081.44,-60.965,-2.929,12268130.49,23519678.23866
399006.SZ,2016-05-19,2037.403,2023.958,2076.484,2023.958,2020.475,16.928,0.8378,12323461.24,25803864.91248
399006.SZ,2016-05-20,2065.301,2018.382,2065.301,2013.532,2037.403,27.898,1.3693,10424853.37,21530347.37432
399006.SZ,2016-05-23,2098.234,2072.997,2107.049,2072.997,2065.301,32.933,1.5946,13928264.14,27890239.39061
399006.SZ,2016-05-24,2075.509,2094.21,2094.21,2061.517,2098.234,-22.725,-1.0831,12318602.85,25081602.61721
399006.SZ,2016-05-25,2067.253,2091.972,2111.26,2062.64,2075.509,-8.256,-0.3978,13310049.3,27209618.40065
399006.SZ,2016-05-26,2086.007,2060.427,2086.49,2019.297,2067.253,18.754,0.9072,13415969.64,26971464.98157
399006.SZ,2016-05-27,2069.885,2076.297,2090.168,2065.374,2086.007,-16.122,-0.7729,11795698.74,24367593.96721
399006.SZ,2016-05-30,2058.518,2054.617,2083.83,2033.665,2069.885,-11.367,-0.5492,10960379.35,20657236.10423
399006.SZ,2016-05-31,2159.8,2061.839,2160.527,2060.141,2058.518,101.282,4.9201,21485082.32,42841944.7393
399006.SZ,2016-06-01,2168.82,2164.727,2188.884,2163.049,2159.8,9.02,0.4176,20189498.51,41902801.9965
399006.SZ,2016-06-02,2188.558,2163.588,2188.558,2160.251,2168.82,19.738,0.9101,16283821.04,32817930.52308
399006.SZ,2016-06-03,2204.974,2176.358,2236.578,2175.815,2188.558,16.416,0.7501,22973700.75,56656391.75472
399006.SZ,2016-06-06,2199.301,2212.457,2219.275,2181.985,2204.974,-5.673,-0.2573,16256231.27,38763984.97826
399006.SZ,2016-06-07,2196.727,2202.041,2204.184,2181.295,2199.301,-2.574,-0.117,14432062.47,32737289.85443
399006.SZ,2016-06-08,2186.544,2191.27,2201.526,2166.965,2196.727,-10.183,-0.4636,15083478.33,34389993.42595
399006.SZ,2016-06-13,2054.707,2150.392,2165.283,2054.707,2186.544,-131.837,-6.0295,18354659.88,40002844.06239
399006.SZ,2016-06-14,2058.314,2045.211,2070.151,2032.437,2054.707,3.607,0.1755,12691213.25,27022809.3085
399006.SZ,2016-06-15,2128.799,2033.6,2143.453,2031.667,2058.314,70.485,3.4244,17777760.44,37675532.09159
399006.SZ,2016-06-16,2101.416,2124.156,2137.183,2097.346,2128.799,-27.383,-1.2863,17067785.12,36383752.82169
399006.SZ,2016-06-17,2122.89,2109.574,2154.517,2105.238,2101.416,21.474,1.0219,15627913.55,33656618.76935
399006.SZ,2016-06-20,2119.63,2117.986,2127.677,2088.286,2122.89,-3.26,-0.1536,11924627.52,25717878.97706
399006.SZ,2016-06-21,2092.001,2135.462,2153.228,2083.692,2119.63,-27.629,-1.3035,16048069.0,33401719.17184
399006.SZ,2016-06-22,2144.818,2085.98,2144.818,2085.65,2092.001,52.817,2.5247,14222178.43,29028670.28544
399006.SZ,2016-06-23,2137.485,2144.583,2153.58,2115.839,2144.818,-7.333,-0.3419,16837015.04,35197139.31022
399006.SZ,2016-06-24,2127.364,2131.154,2157.941,2060.196,2137.485,-10.121,-0.4735,19922672.68,40148721.13427
399006.SZ,2016-06-27,2191.806,2111.1,2194.128,2110.603,2127.364,64.442,3.0292,21030922.78,43735528.84389
399006.SZ,2016-06-28,2216.71,2181.412,2221.462,2173.532,2191.806,24.904,1.1362,23215990.41,49703326.19088
399006.SZ,2016-06-29,2209.788,2228.506,2238.353,2203.489,2216.71,-6.922,-0.3123,18443876.85,40867943.16075
399006.SZ,2016-06-30,2227.79,2213.602,2233.279,2206.805,2209.788,18.002,0.8146,17941508.73,41570735.44517
399006.SZ,2016-07-01,2211.177,2231.182,2241.628,2203.933,2227.79,-16.613,-0.7457,14668383.61,35983142.42267
399006.SZ,2016-07-04,2248.712,2195.622,2254.15,2193.844,2211.177,37.535,1.6975,17784634.06,42104756.40634
399006.SZ,2016-07-05,2246.024,2253.689,2259.287,2229.001,2248.712,-2.688,-0.1195,16139170.85,39044223.65806
399006.SZ,2016-07-06,2241.56,2239.758,2246.73,2229.266,2246.024,-4.464,-0.1988,13738409.59,32063861.39806
399006.SZ,2016-07-07,2233.922,2240.895,2247.584,2212.414,2241.56,-7.638,-0.3407,16795981.1,39053962.79539
399006.SZ,2016-07-08,2239.002,2231.969,2257.318,2220.205,2233.922,5.08,0.2274,15557363.19,35815971.55942
399006.SZ,2016-07-11,2218.588,2242.26,2252.664,2216.568,2239.002,-20.414,-0.9117,16477804.77,37897538.74675
399006.SZ,2016-07-12,2247.354,2218.019,2247.354,2182.03,2218.588,28.766,1.2966,18671280.35,41637219.32411
399006.SZ,2016-07-13,2285.369,2258.263,2299.859,2250.64,2247.354,38.015,1.6915,23655174.19,52376427.63653
399006.SZ,2016-07-14,2293.079,2282.157,2295.588,2273.421,2285.369,7.71,0.3374,20113199.62,44918665.39916
399006.SZ,2016-07-15,2263.784,2289.103,2293.085,2260.163,2293.079,-29.295,-1.2775,17670910.19,39851665.60772
399006.SZ,2016-07-18,2249.871,2257.418,2268.789,2234.209,2263.784,-13.913,-0.6146,14307801.5,33162767.88263
399006.SZ,2016-07-19,2273.719,2249.735,2273.719,2236.996,2249.871,23.848,1.06,15279340.8,36703444.12006
399006.SZ,2016-07-20,2268.535,2272.644,2288.647,2268.527,2273.719,-5.184,-0.228,14955571.31,36019575.94615
399006.SZ,2016-07-21,2265.128,2266.083,2289.668,2259.202,2268.535,-3.407,-0.1502,14547039.85,33640968.57009
399006.SZ,2016-07-22,2249.999,2262.102,2269.551,2248.303,2265.128,-15.129,-0.6679,13498454.94,31370424.32117
