ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000300.SH,2020-01-10,4163.1849,4177.5777,4180.9771,4148.4817,4164.3697,-1.1848,-0.0285,113031719.0,177827413.7093
000300.SH,2020-01-13,4203.9883,4166.9254,4203.9883,4148.6007,4163.1849,40.8034,0.9801,119691982.0,199795489.7091
000300.SH,2020-01-14,4189.8862,4215.1578,4223.5078,4188.0809,4203.9883,-14.1021,-0.3354,129320783.0,196221263.3956
000300.SH,2020-01-15,4166.7344,4186.881,4193.8686,4150.8799,4189.8862,-23.1518,-0.5526,104633136.0,163081930.6224
000300.SH,2020-01-16,4149.0434,4174.8172,4175.2938,4142.1795,4166.7344,-17.691,-0.4246,100267642.0,156242505.812
000300.SH,2020-01-17,4154.853,4162.1939,4177.0282,4141.6448,4149.0434,5.8096,0.14,98725682.0,166591591.5943
000300.SH,2020-01-20,4185.8304,4170.7365,4185.9629,4149.4879,4154.853,30.9774,0.7456,122409147.0,202692287.4418
000300.SH,2020-01-21,4114.3085,4165.0203,4165.0203,4113.3251,4185.8304,-71.5219,-1.7087,130527507.0,204586880.4939
000300.SH,2020-01-22,4131.9311,4093.8009,4141.1772,4046.4866,4114.3085,17.6226,0.4283,126758763.0,208136150.7915
000300.SH,2020-01-23,4003.9013,4093.3229,4103.5244,3972.3933,4131.9311,-128.0298,-3.0985,160357603.0,250409357.7007
000300.SH,2020-02-03,3688.3578,3639.9089,3732.1572,3639.9089,4003.9013,-315.5435,-7.8809,157559647.0,243303105.3859
000300.SH,2020-02-04,3785.6376,3652.0035,3786.8629,3652.0035,3688.3578,97.2798,2.6375,213933328.0,298165767.6214
000300.SH,2020-02-05,3828.5272,3801.099,3866.0108,3781.613,3785.6376,42.8896,1.133,174925524.0,264042920.8657
000300.SH,2020-02-06,3899.7751,3841.7537,3914.915,3806.9601,3828.5272,71.2479,1.861,176462235.0,262820088.4519
000300.SH,2020-02-07,3899.8693,3879.5531,3899.8837,3849.7127,3899.7751,0.0942,0.0024,151731759.0,237508816.2556
000300.SH,2020-02-10,3916.0052,3872.3738,3920.1667,3861.0066,3899.8693,16.1359,0.4138,148406969.0,229625441.8956
000300.SH,2020-02-11,3952.4643,3926.4204,3970.5221,3915.7077,3916.0052,36.4591,0.931,143441674.0,219307119.3613
000300.SH,2020-02-12,3984.4325,3945.6663,3984.4325,3940.6667,3952.4643,31.9682,0.8088,126710321.0,200776706.5498
000300.SH,2020-02-13,3959.9188,3985.8757,3999.5495,3950.1422,3984.4325,-24.5137,-0.6152,145001843.0,228605964.7934
000300.SH,2020-02-14,3987.7342,3954.234,4001.5627,3954.0233,3959.9188,27.8154,0.7024,143239803.0,222895073.6248
000300.SH,2020-02-17,4077.4241,3999.6511,4077.4464,3999.6511,3987.7342,89.6899,2.2491,182778969.0,273067817.2778
000300.SH,2020-02-18,4057.5108,4069.8315,4076.388,4027.7859,4077.4241,-19.9133,-0.4884,163236220.0,242552517.3344
000300.SH,2020-02-19,4051.3107,4049.5862,4085.1704,4042.8451,4057.5108,-6.2001,-0.1528,169046441.0,257554535.7298
000300.SH,2020-02-20,4144.6561,4062.8968,4148.5287,4055.8105,4051.3107,93.3454,2.3041,212232624.0,310835589.1623
000300.SH,2020-02-21,4149.4903,4134.8747,4184.4379,4130.1677,4144.6561,4.8342,0.1166,217213604.0,326564003.5585
000300.SH,2020-02-24,4132.8388,4131.8364,4149.0102,4097.1753,4149.4903,-16.6515,-0.4013,212869303.0,326387800.6057
000300.SH,2020-02-25,4123.8543,4066.302,4126.7075,4020.9075,4132.8388,-8.9845,-0.2174,244167831.0,372213717.0295
000300.SH,2020-02-26,4073.0152,4070.0994,4132.7817,4061.125,4123.8543,-50.8391,-1.2328,261094061.0,366022417.9074
000300.SH,2020-02-27,4084.8759,4084.0782,4110.5275,4067.4408,4073.0152,11.8607,0.2912,181290981.0,282050206.371
000300.SH,2020-02-28,3940.0488,3988.7274,4031.1453,3928.0663,4084.8759,-144.8271,-3.5454,230275093.0,330358907.2655
000300.SH,2020-03-02,4069.6662,3968.8435,4092.5394,3968.8435,3940.0488,129.6174,3.2897,219313559.0,317426205.4571
000300.SH,2020-03-03,4091.3615,4125.1356,4147.6525,4067.9094,4069.6662,21.6953,0.5331,219369777.0,330802584.6189
000300.SH,2020-03-04,4115.0524,4078.4998,4115.2618,4060.729,4091.3615,23.6909,0.579,182424730.0,281784863.8449
000300.SH,2020-03-05,4206.7251,4150.21,4215.8513,4127.0386,4115.0524,91.6727,2.2277,231823115.0,362838831.7755
000300.SH,2020-03-06,4138.5072,4158.2021,4181.3102,4135.3901,4206.7251,-68.2179,-1.6216,172475717.0,253168631.9589
000300.SH,2020-03-09,3997.1325,4063.076,4063.076,3995.1313,4138.5072,-141.3747,-3.4161,208102035.0,305428730.3038
000300.SH,2020-03-10,4082.7315,3975.2288,4093.0024,3954.7506,3997.1325,85.599,2.1415,197416402.0,296184435.8513
000300.SH,2020-03-11,4028.4289,4090.9348,4091.2704,4028.3964,4082.7315,-54.3026,-1.3301,161656111.0,244990872.6859
000300.SH,2020-03-12,3950.9111,3976.1139,3987.4336,3926.2704,4028.4289,-77.5178,-1.9243,157060458.0,233152848.7591
000300.SH,2020-03-13,3895.3128,3771.0139,3937.1806,3765.1479,3950.9111,-55.5983,-1.4072,188296722.0,280213453.2137
000300.SH,2020-03-16,3727.8398,3899.8598,3899.8598,3720.5127,3895.3128,-167.473,-4.2993,185968260.0,282836238.2712
000300.SH,2020-03-17,3709.6822,3739.7833,3786.8908,3618.307,3727.8398,-18.1576,-0.4871,166246129.0,250824025.6969
000300.SH,2020-03-18,3636.2565,3729.6853,3775.8506,3636.2565,3709.6822,-73.4257,-1.9793,155037547.0,244127161.5353
