,ivol,momentum,reversal,low_vol,value,multifactor,CSI300,low_vol_timed,multifactor_timed,momentum_timed
2018-02-28,1.7290665856698026,0.6866769054542958,1.195475801208236,1.537367754829014,1.7695924074623706,1.3084199170392503,1.7207646024632561,1.521570616176268,1.3209007206253625,0.9688837999141937
2018-05-31,1.6616861444704967,0.6192524352735564,1.1015939938640906,1.4906670670115079,1.6621082185985492,1.2523080930681343,1.6261373817670797,1.5192882602520037,1.3189193695444246,0.9674304742143225
2018-08-31,1.4906580895716577,0.49689388906184906,0.9496360970165685,1.2848626465881934,1.4622462550389457,1.1140795669144916,1.4260454768811526,1.5192882602520037,1.3189193695444246,0.9674304742143225
2018-11-30,1.4522591192876255,0.43876050250960785,0.8299159409621293,1.2645334226770133,1.3836724389507769,1.076214781671481,1.3568437065253323,1.5192882602520037,1.3189193695444246,0.9674304742143225
2019-02-28,1.6881406462358501,0.48979437031149253,0.9213642688301461,1.4025539235409192,1.608862699783301,1.174889746193503,1.5692557414893893,1.5192882602520037,1.3189193695444246,0.9674304742143225
2019-05-31,1.7119397841081596,0.49895938999772566,0.9254019704420952,1.383972602479581,1.5357409289297324,1.1210133219761806,1.5523283925369296,1.5192882602520037,1.3189193695444246,0.9674304742143225
2019-08-30,1.6084202926824462,0.5578060393283876,0.9933490807639705,1.3312026200573976,1.4558651974400072,1.0621812071904675,1.6249443716703722,1.5192882602520037,1.3189193695444246,0.9674304742143225
2019-11-29,1.629196180334918,0.5800767835673264,1.0038413468571465,1.3051380252253275,1.4864589060376179,1.058016491746893,1.6373826651732655,1.489776750011816,1.313406907391904,1.0057054457623191
2020-02-28,1.5760647919699267,0.7432576093078116,1.1319047987275608,1.29540101347533,1.427029941460141,1.0675481065506496,1.6850150558934809,1.4875420848867984,1.311436797030816,1.0041968875936758
2020-05-29,1.464930678570325,0.6736478856934142,1.0891306389649336,1.2400886412312457,1.3599326519379473,1.0060391798036292,1.653784672283599,1.4875420848867984,1.311436797030816,1.0041968875936758
2020-08-31,1.5785286184484997,0.8015064894723969,1.3582799805394599,1.3018427215291246,1.4503835047025564,1.0633105590215712,2.05971948695776,1.4875420848867984,1.311436797030816,1.0041968875936758
2020-11-30,1.6140435037430005,0.7133977644531109,1.3002088172913813,1.3334157906912079,1.5252179836626045,1.0837765133938035,2.1213186832925133,1.5230802533728627,1.3364750353773183,0.8946896312126195
2021-02-26,1.5871775176762033,0.8761207987588213,1.4802336100852682,1.3277216320092775,1.4964050835141496,1.1595753427122375,2.2823378396236227,1.5165761601196066,1.4299474827342795,1.098764579028556
2021-05-31,1.6322498970403068,0.9047509937633197,1.694302719122087,1.337295893769098,1.4919632793216175,1.1854334451211321,2.280117710101455,1.5143771246874334,1.4278740588843148,1.0971713703889647
2021-08-31,1.538986204076857,0.909894770876619,1.5282020876010536,1.228795130690104,1.3760062381466462,1.1008125626712515,2.0551839444858575,1.3912739842751884,1.3255775380523478,1.104260367929571
2021-11-30,1.5349743269483118,0.7948724208473309,1.5637871655750946,1.1912612909506828,1.3373400817603698,1.0271946516334487,2.0664811462408172,1.3891870732987757,1.3235891717452692,1.1026039773776768
2022-02-28,1.571980308056043,0.6902592519813165,1.493136865631906,1.2232377849952203,1.4348311575132746,1.0377245674354119,1.9594027166040793,1.3891870732987757,1.3235891717452692,1.1026039773776768
2022-05-31,1.4916094521286787,0.6224729236974167,1.2861800137221422,1.1269348314197718,1.3828698906972605,1.0124739485227208,1.7497927328852285,1.3891870732987757,1.3235891717452692,1.1026039773776768
2022-08-31,1.4811648607028516,0.6130926897033533,1.2546678340583897,1.1032416761709023,1.298209785854576,0.9627665627523259,1.7443710716434735,1.3891870732987757,1.3235891717452692,1.1026039773776768
2022-11-30,1.51120975664218,0.5616459816127353,1.1512520146248244,1.1252108600540276,1.3127968516338198,0.9606352766962752,1.6478030712226526,1.3891870732987757,1.3235891717452692,1.1026039773776768
2023-02-28,1.5702112918604796,0.5440483514438176,1.1635532317271808,1.1530156920529384,1.3339080711121396,0.9701053305646482,1.7403589465279508,1.3891870732987757,1.3235891717452692,1.1026039773776768
2023-05-31,1.7268998171107748,0.5330849989268535,0.9112195214788456,1.1791374996991775,1.3934615573305151,1.0456102690390656,1.6244983614073045,1.4202426360389357,1.426076919705346,1.0813772735904459
2023-08-31,1.7124741526547016,0.482905107533249,0.8878019533447926,1.121614546389963,1.3326482864097242,0.9934177977776504,1.610267601881207,1.4181122720848773,1.423937804325788,1.0797552076800603
2023-11-30,1.6780066010644035,0.4436043181598928,0.8727433464120034,1.1093387554314864,1.344665289010493,0.9978302550590066,1.4951983225326924,1.4181122720848773,1.423937804325788,1.0797552076800603
2024-02-29,1.7814153048138153,0.43372274161237495,0.8711208076956024,1.1930901003222416,1.5058373782795558,1.1189373909697313,1.5037001873593796,1.4181122720848773,1.423937804325788,1.0797552076800603
2024-05-31,1.8872149217923564,0.4461419203700402,0.9147728531282551,1.2276732676961604,1.5748533463957355,1.2098236235136393,1.5310031232265338,1.4181122720848773,1.423937804325788,1.0797552076800603
2024-08-30,1.7626420977803703,0.3952916879152754,0.8117966974442503,1.18612484778034,1.4178277595510758,1.1044892732630747,1.4204553589871567,1.4181122720848773,1.423937804325788,1.0797552076800603
2024-11-29,2.0293523465180026,0.42912645700899377,1.075150090586267,1.3480467585759628,1.6284350780227843,1.1910799587611587,1.6749796752922126,1.4181122720848773,1.423937804325788,1.0797552076800603
2025-02-28,2.023247190839995,0.4141206638555033,1.0328566301613993,1.357457884810511,1.611312604884726,1.2445417148250033,1.6636318381789754,1.4285797919822814,1.4871394417142811,1.0431858086901897
2025-05-30,2.053511641202215,0.3642078782771291,1.0772180928715749,1.4097981360075442,1.731258068202415,1.3276657935611436,1.6423271822492287,1.4835884376617345,1.5863899233759768,0.9173996328002216
2025-08-29,2.2443156499693724,0.43637906104488233,1.3275250648061512,1.5686797306249893,1.7465756477003842,1.3079677487019943,1.9230997307002957,1.4814372344271252,1.5840896579870818,0.9160694033326614
2025-11-28,2.217376257737232,0.42709790407730863,1.3016626087288883,1.5523806425955335,1.7831706719505334,1.3535810700078161,1.9358879384780405,1.4673472671392458,1.6392503616070255,0.8972966640458482
2026-02-27,2.206745625187706,0.47492107821741475,1.4672997851659693,1.5801463210541602,1.7723250686565681,1.4097970369990915,2.0145717356338215,1.465146246238537,1.636791486064615,0.8959507190497794
2026-05-29,2.063990281889611,0.49933442433744557,1.491594868470752,1.4865533042085395,1.74986467679383,1.3352887642360318,2.092181712510056,1.3785921032612103,1.550371137894383,0.9430729911702249
