trade_date,open,close
20130910,1277.869,1263.589
20130911,1256.655,1220.705
20130912,1215.693,1220.633
20130913,1221.148,1253.448
20130916,1254.472,1278.798
20130917,1279.263,1269.36
20130918,1268.341,1289.642
20130923,1292.762,1326.091
20130924,1325.891,1328.404
20130925,1324.193,1323.04
20130926,1318.521,1306.344
20130927,1305.506,1323.759
20130930,1329.559,1367.912
20131008,1376.365,1387.663
20131009,1385.959,1415.833
20131010,1422.355,1378.148
20131011,1377.976,1379.9
20131014,1374.472,1393.602
20131015,1397.212,1389.749
20131016,1393.005,1335.1
20131017,1339.314,1322.988
20131018,1327.095,1349.937
20131021,1358.884,1400.967
20131022,1401.469,1350.473
20131023,1336.227,1311.231
20131024,1307.114,1295.932
20131025,1298.719,1269.171
20131028,1264.137,1279.05
20131029,1276.265,1261.684
20131030,1256.236,1273.291
20131031,1266.556,1235.555
20131101,1227.692,1221.962
20131104,1217.278,1222.456
20131105,1217.636,1260.025
20131106,1255.474,1241.789
20131107,1234.24,1224.05
20131108,1215.68,1211.11
20131111,1208.259,1212.689
20131112,1213.31,1228.346
20131113,1226.529,1212.08
20131114,1207.448,1249.667
20131115,1248.259,1269.052
20131118,1275.551,1291.151
20131119,1293.057,1298.166
20131120,1299.682,1299.264
20131121,1295.931,1298.953
20131122,1298.468,1295.067
20131125,1290.842,1293.795
20131126,1291.624,1291.854
20131127,1290.188,1329.477
20131128,1333.048,1336.661
20131129,1335.626,1366.834
20131202,1296.703,1253.929
20131203,1223.382,1255.329
20131204,1249.593,1240.287
20131205,1234.504,1202.066
20131206,1196.321,1206.783
20131209,1211.393,1241.715
20131210,1244.574,1231.921
20131211,1230.783,1244.505
20131212,1242.153,1279.318
20131213,1274.166,1278.143
20131216,1279.063,1279.958
20131217,1278.53,1267.673
20131218,1267.772,1256.0
20131219,1253.43,1256.084
20131220,1255.824,1253.714
20131223,1251.41,1242.806
20131224,1242.002,1258.823
20131225,1261.996,1288.341
20131226,1290.869,1269.535
20131227,1265.083,1294.302
20131230,1294.417,1307.988
20131231,1302.671,1304.444
20140102,1302.298,1333.003
20140103,1332.352,1352.84
