trade_date,open,close
20110513,3105.303,3128.093
20110516,3120.436,3100.463
20110517,3097.071,3116.028
20110518,3109.294,3139.379
20110519,3148.353,3120.639
20110520,3120.579,3121.596
20110523,3115.312,3022.98
20110524,3013.715,3026.223
20110525,3020.323,2990.343
20110526,3011.466,2978.381
20110527,2980.721,2963.308
20110530,2956.575,2954.506
20110531,2958.607,3001.556
20110601,2996.085,3004.173
20110602,2970.634,2955.705
20110603,2951.579,2986.349
20110607,2977.681,3004.262
20110608,3003.581,3008.652
20110609,3000.404,2951.889
20110610,2947.927,2961.932
20110613,2940.391,2950.348
20110614,2947.655,2993.559
20110615,2984.962,2963.119
20110616,2939.681,2917.578
20110617,2916.405,2892.157
20110620,2888.935,2874.896
20110621,2883.354,2909.073
20110622,2913.666,2908.582
20110623,2899.013,2957.629
20110624,2946.609,3027.47
20110627,3028.496,3036.491
20110628,3040.183,3041.734
20110629,3039.047,3000.169
20110630,3003.23,3044.089
20110701,3052.12,3049.745
20110704,3064.935,3121.98
20110705,3122.899,3122.5
20110706,3116.121,3113.712
20110707,3123.29,3101.68
20110708,3105.486,3109.183
20110711,3097.874,3113.206
20110712,3089.136,3056.905
20110713,3060.42,3106.247
20110714,3112.587,3115.745
20110715,3105.497,3128.889
20110718,3131.803,3122.6
20110719,3108.472,3095.125
20110720,3113.705,3091.567
20110721,3092.271,3059.139
20110722,3066.192,3067.985
20110725,3050.897,2968.289
20110726,2965.721,2977.766
20110727,2961.576,3000.052
20110728,2973.642,2981.002
20110729,2981.021,2972.079
20110801,2969.106,2977.721
20110802,2958.85,2956.383
20110803,2930.193,2954.87
20110804,2962.913,2960.309
20110805,2881.737,2897.417
20110808,2864.514,2793.897
20110809,2720.953,2798.19
20110810,2845.352,2824.12
20110811,2779.715,2866.924
20110812,2881.554,2875.365
20110815,2883.174,2917.883
20110816,2920.829,2897.581
20110817,2893.849,2886.013
20110818,2887.103,2834.254
20110819,2789.346,2807.664
20110822,2809.329,2777.787
20110823,2788.699,2821.003
20110824,2834.577,2810.016
20110825,2818.701,2903.837
20110826,2889.382,2901.216
20110829,2875.784,2852.809
20110830,2875.144,2841.74
20110831,2843.993,2846.776
20110901,2852.386,2834.535
20110902,2828.839,2803.854
20110905,2780.834,2743.817
20110906,2727.749,2723.303
20110907,2738.789,2779.09
20110908,2788.832,2756.105
20110909,2770.153,2751.095
20110913,2712.443,2720.283
20110914,2729.256,2733.108
20110915,2734.552,2729.051
20110916,2744.218,2733.987
20110919,2718.318,2679.27
20110920,2675.043,2689.845
20110921,2691.701,2771.011
20110922,2745.146,2685.688
20110923,2644.294,2669.478
20110926,2645.245,2610.919
20110927,2634.925,2637.879
20110928,2654.83,2610.59
20110929,2593.559,2588.185
20110930,2595.582,2581.351
20111010,2588.349,2557.082
20111011,2625.163,2551.994
20111012,2537.398,2644.758
20111013,2636.863,2662.601
20111014,2655.358,2653.782
20111017,2658.947,2666.951
20111018,2646.841,2592.209
20111019,2599.917,2583.081
20111020,2566.603,2520.532
20111021,2522.257,2507.877
20111024,2517.059,2576.669
20111025,2572.708,2625.425
20111026,2613.272,2651.652
20111027,2658.428,2657.478
20111028,2694.542,2709.017
20111031,2704.535,2695.307
20111101,2672.508,2697.534
20111102,2658.547,2742.39
20111103,2752.627,2744.301
20111104,2770.572,2763.746
20111107,2750.991,2736.248
20111108,2745.059,2727.71
20111109,2739.154,2751.654
20111110,2720.836,2699.588
20111111,2705.243,2695.002
20111114,2717.544,2750.195
20111115,2746.773,2744.68
20111116,2745.858,2670.116
20111117,2671.953,2662.017
20111118,2643.667,2606.495
20111121,2608.556,2609.687
20111122,2592.229,2609.475
20111123,2613.291,2584.011
20111124,2565.686,2588.915
20111125,2585.137,2569.973
20111128,2578.344,2573.321
20111129,2595.086,2608.569
20111130,2600.099,2521.52
20111201,2596.153,2583.613
20111202,2570.56,2557.311
20111205,2561.2,2521.385
20111206,2515.044,2516.341
20111207,2517.341,2528.228
20111208,2525.041,2525.001
20111209,2506.624,2503.461
20111212,2497.922,2477.692
20111213,2467.016,2421.928
20111214,2415.944,2397.48
20111215,2382.441,2340.788
20111216,2339.976,2390.129
20111219,2370.418,2384.408
20111220,2376.709,2377.073
20111221,2397.275,2339.108
20111222,2325.27,2341.335
20111223,2337.382,2359.159
20111226,2345.555,2335.702
20111227,2332.826,2305.035
20111228,2295.866,2307.928
20111229,2297.288,2311.361
20111230,2318.673,2345.742
20120104,2361.499,2298.753
20120105,2290.78,2276.385
20120106,2274.352,2290.601
20120109,2291.182,2368.57
20120110,2365.768,2447.349
20120111,2444.757,2435.608
20120112,2426.82,2435.219
20120113,2438.405,2394.334
20120116,2376.953,2345.649
20120117,2347.568,2460.601
20120118,2464.92,2422.189
20120119,2423.857,2468.35
20120120,2476.73,2504.086
20120130,2508.877,2460.72
20120131,2462.338,2464.26
20120201,2458.233,2428.994
20120202,2437.47,2486.238
20120203,2478.336,2506.09
20120206,2511.172,2504.322
20120207,2489.032,2457.954
20120208,2456.422,2528.236
20120209,2525.589,2529.231
20120210,2521.676,2533.624
20120213,2504.41,2531.981
20120214,2528.967,2522.107
20120215,2515.829,2549.607
20120216,2544.641,2536.074
20120217,2551.815,2537.086
20120220,2571.907,2540.706
20120221,2544.835,2562.453
20120222,2564.315,2597.476
20120223,2595.779,2606.256
20120224,2607.339,2648.017
20120227,2658.121,2656.573
20120228,2652.342,2662.463
20120229,2655.858,2634.143
20120301,2622.737,2633.345
20120302,2637.961,2679.934
20120305,2687.74,2662.698
20120306,2654.799,2621.052
20120307,2596.479,2603.005
20120308,2612.403,2635.791
20120309,2644.1,2664.302
20120312,2663.243,2654.402
20120313,2653.681,2681.073
20120314,2694.475,2605.106
20120315,2602.661,2585.546
20120316,2591.8,2623.52
20120319,2617.662,2630.013
20120320,2622.66,2584.445
20120321,2597.375,2587.793
20120322,2586.938,2583.747
20120323,2575.327,2552.94
20120326,2551.425,2555.442
20120327,2565.551,2547.143
20120328,2538.458,2474.9
20120329,2463.688,2443.122
20120330,2447.939,2454.899
20120405,2449.208,2512.832
20120406,2509.445,2519.83
20120409,2510.533,2495.146
20120410,2490.283,2519.788
20120411,2494.517,2520.036
20120412,2522.828,2570.436
20120413,2575.052,2580.454
20120416,2564.231,2574.044
20120417,2572.364,2541.883
20120418,2550.905,2599.908
20120419,2598.329,2596.056
20120420,2591.51,2626.839
20120423,2624.751,2606.038
20120424,2594.801,2604.866
20120425,2598.228,2625.99
20120426,2632.718,2631.487
20120427,2630.549,2626.157
20120502,2660.673,2683.487
20120503,2679.517,2691.518
20120504,2689.624,2715.879
20120507,2699.447,2717.778
20120508,2717.408,2709.116
20120509,2685.187,2657.514
20120510,2657.87,2657.214
20120511,2652.313,2636.917
20120514,2653.806,2615.534
20120515,2597.644,2617.374
20120516,2610.161,2574.647
20120517,2577.961,2613.942
20120518,2595.547,2573.976
20120521,2572.369,2587.231
20120522,2598.167,2627.525
20120523,2621.786,2616.869
20120524,2613.095,2595.26
20120525,2595.261,2573.103
20120528,2562.596,2614.689
20120529,2615.145,2650.854
20120530,2646.37,2642.258
20120531,2623.158,2632.042
20120601,2633.601,2632.998
20120604,2598.733,2559.026
20120605,2565.186,2558.842
20120606,2564.226,2557.401
20120607,2579.425,2542.184
20120608,2558.843,2524.329
20120611,2529.599,2558.265
20120612,2543.765,2540.178
20120613,2546.791,2580.636
20120614,2573.329,2560.421
20120615,2565.189,2568.054
20120618,2576.629,2581.212
20120619,2577.362,2558.621
20120620,2563.643,2552.611
20120621,2547.048,2512.185
20120625,2501.163,2456.518
20120626,2442.562,2454.915
20120627,2452.666,2447.195
20120628,2451.664,2425.729
20120629,2418.862,2461.612
20120702,2473.545,2465.238
20120703,2464.85,2468.721
20120704,2474.527,2464.919
20120705,2450.3,2430.37
20120706,2435.059,2472.614
20120709,2455.892,2416.036
20120710,2411.003,2406.706
20120711,2402.184,2425.572
20120712,2420.036,2449.181
20120713,2441.013,2450.633
20120716,2452.595,2399.731
20120717,2391.897,2414.201
20120718,2412.062,2414.335
20120719,2407.443,2424.322
20120720,2415.71,2398.455
20120723,2379.885,2365.431
20120724,2353.22,2375.992
20120725,2368.384,2360.083
20120726,2360.134,2347.488
20120727,2353.942,2349.108
20120730,2350.782,2335.793
20120731,2336.882,2332.922
20120801,2332.129,2358.651
20120802,2354.073,2334.882
